Accession_ID	Collection_date	Submission_date	Location	Clade	Pangolin	City
EPI_ISL_1167151	2021-01-17	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167152	2021-01-17	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167153	2021-01-18	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167154	2021-01-18	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167155	2021-01-18	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167156	2021-01-18	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167157	2021-01-23	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167158	2021-01-23	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167159	2021-01-23	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167160	2021-01-25	2021-03-05	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_1167161	2021-01-27	2021-03-05	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_1167162	2021-01-27	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167163	2021-01-28	2021-03-05	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_1167164	2021-01-28	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167165	2021-01-28	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167166	2021-01-29	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167167	2021-01-29	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167168	2021-01-29	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167169	2021-01-29	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167170	2021-02-03	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167171	2021-02-02	2021-03-05	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_1167172	2021-01-28	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167173	2021-01-09	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167174	2021-01-25	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167175	2021-01-12	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167176	2021-01-12	2021-03-05	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_1167177	2021-01-05	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167178	2021-01-23	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167179	2021-01-23	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167180	2021-01-30	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167181	2021-02-02	2021-03-05	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1167182	2021-02-03	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167183	2021-01-17	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_1167184	2021-01-28	2021-03-05	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_12240055	2021-02-17	2022-04-23	Africa / Senegal / Dakar	19B	A.27	 Dakar
EPI_ISL_12240056	2021-01-22	2022-04-23	Africa / Senegal / Dakar	19B	A.27	 Dakar
EPI_ISL_1827856	2020-12-30	2021-05-03	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_1827858	2021-01-02	2021-05-03	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1827872	2020-12-31	2021-05-03	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1827885	2020-12-30	2021-05-03	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1827886	2020-12-30	2021-05-03	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_1827887	2021-01-02	2021-05-03	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1827892	2020-12-28	2021-05-03	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1827893	2021-01-04	2021-05-03	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_1827908	2020-12-31	2021-05-03	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_1827925	2020-12-27	2021-05-03	Africa / Senegal / Dakar	20B	B.1.1.420	 Dakar
EPI_ISL_2620888	2021-05-05	2021-06-20	Africa / Senegal / Dakar	21J (Delta)	AY.46.3	 Dakar
EPI_ISL_2887852	2021-05-31	2021-07-10	Africa / Senegal / Dakar	20B	B.1.1.318	 Dakar
EPI_ISL_418206	2020-02-28	2020-03-29	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_418207	2020-03-02	2020-03-29	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_418208	2020-03-04	2020-03-29	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_418209	2020-03-03	2020-03-29	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_418216	2020-03-13	2020-03-29	Africa / Senegal / Dakar	19B	A.2	 Dakar
EPI_ISL_420069	2020-03-17	2020-04-04	Africa / Senegal / Dakar	19A	B.3	 Dakar
EPI_ISL_420070	2020-03-17	2020-04-04	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_420073	2020-03-19	2020-04-04	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_420076	2020-03-20	2020-04-04	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_420077	2020-03-20	2020-04-04	Africa / Senegal / Dakar	19B	A	 Dakar
EPI_ISL_476148	2020-06-09	2020-06-25	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_476149	2020-06-06	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476491	2020-06-09	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476492	2020-06-10	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476493	2020-06-10	2020-06-25	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_476494	2020-06-11	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476495	2020-06-11	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476497	2020-06-12	2020-06-25	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_476514	2020-06-12	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476516	2020-06-12	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476558	2020-06-12	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476560	2020-06-13	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476562	2020-06-13	2020-06-25	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_476564	2020-06-13	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476566	2020-06-13	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476569	2020-06-13	2020-06-25	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_476570	2020-06-13	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476572	2020-06-14	2020-06-25	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_476574	2020-06-13	2020-06-25	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_477141	2020-06-07	2020-06-28	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_477142	2020-06-17	2020-06-28	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_477143	2020-06-17	2020-06-28	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_477144	2020-06-20	2020-06-28	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_477145	2020-06-19	2020-06-28	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_477146	2020-06-20	2020-06-28	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_477148	2020-06-07	2020-06-28	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_477149	2020-06-07	2020-06-28	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_477150	2020-06-07	2020-06-28	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_477151	2020-06-14	2020-06-28	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_477153	2020-06-14	2020-06-28	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_477154	2020-06-13	2020-06-28	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_477155	2020-06-11	2020-06-28	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_477156	2020-06-13	2020-06-28	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_477159	2020-06-12	2020-06-28	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_480554	2020-03-21	2020-07-02	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_480787	2020-03-31	2020-07-02	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_481220	2020-04-06	2020-07-02	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_481235	2020-04-09	2020-07-02	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_481236	2020-04-18	2020-07-02	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_481238	2020-04-17	2020-07-02	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_481243	2020-04-18	2020-07-02	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_482875	2020-06-16	2020-07-06	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_482876	2020-06-17	2020-07-06	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_482877	2020-06-17	2020-07-06	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_482878	2020-06-18	2020-07-06	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_485635	2020-06-18	2020-07-09	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_485707	2020-06-17	2020-07-09	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_485708	2020-06-15	2020-07-09	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_485710	2020-06-15	2020-07-09	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_485712	2020-06-14	2020-07-09	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_485714	2020-06-14	2020-07-09	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_485715	2020-06-12	2020-07-09	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_486859	2020-04-21	2020-07-12	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_486861	2020-04-25	2020-07-12	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_486862	2020-04-25	2020-07-12	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_486863	2020-04-25	2020-07-12	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_486864	2020-04-23	2020-07-12	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_486865	2020-04-02	2020-07-12	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_486866	2020-04-22	2020-07-12	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_486867	2020-04-23	2020-07-12	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_486868	2020-04-21	2020-07-12	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_486869	2020-04-21	2020-07-12	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_486871	2020-04-21	2020-07-12	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_486872	2020-04-11	2020-07-12	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_486873	2020-04-20	2020-07-12	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_498229	2020-04-21	2020-07-27	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_498230	2020-04-21	2020-07-27	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_498231	2020-04-25	2020-07-27	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_498232	2020-04-25	2020-07-27	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_498233	2020-04-25	2020-07-27	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_498236	2020-04-24	2020-07-27	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_498238	2020-05-27	2020-07-27	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_498239	2020-05-27	2020-07-27	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_498241	2020-06-05	2020-07-27	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_498242	2020-06-07	2020-07-27	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_498243	2020-06-07	2020-07-27	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_498247	2020-06-10	2020-07-27	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_498249	2020-06-11	2020-07-27	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_498250	2020-06-13	2020-07-27	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_498252	2020-07-09	2020-07-27	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525431	2020-03-02	2022-01-10	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_8525432	2020-03-01	2022-01-10	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_8525437	2020-03-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525438	2020-03-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525441	2020-03-18	2022-01-10	Africa / Senegal / Dakar	19B	A	 Dakar
EPI_ISL_8525445	2020-03-20	2022-01-10	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_8525450	2020-03-20	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525451	2020-03-21	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525454	2020-03-23	2022-01-10	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_8525455	2020-03-24	2022-01-10	Africa / Senegal / Dakar	20A	B.1.212	 Dakar
EPI_ISL_8525457	2020-03-24	2022-01-10	Africa / Senegal / Dakar	19B	A	 Dakar
EPI_ISL_8525458	2020-03-24	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525460	2020-03-24	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525461	2020-03-24	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525462	2020-03-25	2022-01-10	Africa / Senegal / Dakar	19A	B	 Dakar
EPI_ISL_8525463	2020-03-25	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8525464	2020-03-26	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525467	2020-03-26	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525468	2020-03-26	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525471	2020-03-28	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525475	2020-03-28	2022-01-10	Africa / Senegal / Dakar	19B	A.2	 Dakar
EPI_ISL_8525478	2020-03-30	2022-01-10	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_8525479	2020-03-30	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525480	2020-03-30	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525483	2020-03-31	2022-01-10	Africa / Senegal / Dakar	21A (Delta)	B.1.617.2	 Dakar
EPI_ISL_8525484	2020-03-31	2022-01-10	Africa / Senegal / Dakar	21A (Delta)	B.1.617.2	 Dakar
EPI_ISL_8525486	2020-03-30	2022-01-10	Africa / Senegal / Dakar	21A (Delta)	B.1.617.2	 Dakar
EPI_ISL_8525493	2020-04-02	2022-01-10	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_8525494	2020-04-02	2022-01-10	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_8525497	2020-04-03	2022-01-10	Africa / Senegal / Dakar	20A	B.1.212	 Dakar
EPI_ISL_8525499	2020-04-03	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525500	2020-04-03	2022-01-10	Africa / Senegal / Dakar	19B	A	 Dakar
EPI_ISL_8525501	2020-04-05	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525502	2020-04-05	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525504	2020-04-07	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525505	2020-04-07	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525506	2020-04-08	2022-01-10	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_8525508	2020-04-08	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525509	2020-04-10	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8525510	2020-04-10	2022-01-10	Africa / Senegal / Dakar	21J (Delta)	AY.34.1	 Dakar
EPI_ISL_8525512	2020-04-10	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525513	2020-04-12	2022-01-10	Africa / Senegal / Dakar	19B	A	 Dakar
EPI_ISL_8525514	2020-04-14	2022-01-10	Africa / Senegal / Dakar	19B	A	 Dakar
EPI_ISL_8525515	2020-04-18	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525516	2020-04-18	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525517	2020-04-20	2022-01-10	Africa / Senegal / Dakar	20E (EU1)	B.1.177	 Dakar
EPI_ISL_8525519	2020-04-21	2022-01-10	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_8525522	2020-04-21	2022-01-10	Africa / Senegal / Dakar	20C	B.1	 Dakar
EPI_ISL_8525523	2020-04-22	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525524	2020-04-22	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525525	2020-04-22	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525526	2020-04-22	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525528	2020-04-27	2022-01-10	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_8525529	2020-04-29	2022-01-10	Africa / Senegal / Dakar	20C	B.1.356	 Dakar
EPI_ISL_8525530	2020-04-30	2022-01-10	Africa / Senegal / Dakar	20A	B.1	 Dakar
EPI_ISL_8525531	2020-04-30	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525535	2020-05-06	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525541	2020-05-08	2022-01-10	Africa / Senegal / Dakar	20A	B.1.619	 Dakar
EPI_ISL_8525551	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20I (Alpha, V1)	B.1.1.7	 Dakar
EPI_ISL_8525554	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1.143	 Dakar
EPI_ISL_8525555	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20I (Alpha, V1)	B.1.1.7	 Dakar
EPI_ISL_8525556	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20I (Alpha, V1)	B.1.1.7	 Dakar
EPI_ISL_8525557	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1.619	 Dakar
EPI_ISL_8525559	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525560	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1.416	 Dakar
EPI_ISL_8525561	2021-05-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525566	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525568	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525569	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1.619	 Dakar
EPI_ISL_8525570	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525572	2020-05-09	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525577	2020-05-10	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525582	2020-05-10	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525589	2020-05-10	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525592	2020-05-10	2022-01-10	Africa / Senegal / Dakar	20H (Beta, V2)	B.1.351	 Dakar
EPI_ISL_8525593	2020-05-10	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525594	2020-05-10	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525595	2020-05-10	2022-01-10	Africa / Senegal / Dakar	20A	B.1.619	 Dakar
EPI_ISL_8525598	2020-05-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525600	2020-05-10	2022-01-10	Africa / Senegal / Dakar	20A	B.1.619	 Dakar
EPI_ISL_8525611	2020-05-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525614	2020-05-11	2022-01-10	Africa / Senegal / Dakar	21D (Eta)	B.1.525	 Dakar
EPI_ISL_8525617	2020-05-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525618	2020-05-11	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525630	2020-05-12	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525631	2020-05-12	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525646	2020-05-12	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525667	2020-05-13	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525682	2020-05-14	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525684	2020-05-14	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525691	2020-05-14	2022-01-10	Africa / Senegal / Dakar	20B	B.1.1	 Dakar
EPI_ISL_8525695	2020-05-14	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
EPI_ISL_8525699	2020-05-14	2022-01-10	Africa / Senegal / Dakar	20A	B.1.620	 Dakar
